job_title,company,location,experience_level,salary,industry,required_skills
Early years teacher,Richardson Ltd,Sydney,Senior Level,87000.0,Healthcare,pharmaceuticals
Counselling psychologist,"Ramos, Santiago and Stewart",San Francisco,Mid Level,50000.0,Marketing,"google ads, seo, content writing"
Radio broadcast assistant,Franco Group,New York,Mid Level,77000.0,Healthcare,"patient care, nursing, medical research, pharmaceuticals"
"Designer, exhibition/display",Collins Inc,Berlin,Senior Level,90000.0,Software,machine learning
"Psychotherapist, dance movement",Barker Group,Sydney,Entry Level,112000.0,Healthcare,"nursing, medical research, pharmaceuticals"
Early years teacher,Dawson-Hudson,Sydney,Mid Level,93000.0,Finance,"financial modeling, risk analysis"
Academic librarian,Clark Ltd,London,Entry Level,104000.0,Healthcare,pharmaceuticals
Quantity surveyor,Dean-Delacruz,Sydney,Entry Level,123000.0,Software,"java, python"
Archaeologist,Williams LLC,New York,Senior Level,102000.0,Finance,"python, sql, risk analysis"
Mining engineer,Berg LLC,London,Senior Level,67000.0,Manufacturing,production planning
"Education officer, environmental",Wallace-Gordon,Berlin,Senior Level,95000.0,Finance,"risk analysis, sql, financial modeling"
Brewing technologist,Young-Cabrera,Sydney,Senior Level,83000.0,Finance,"financial modeling, sql, excel, python"
Newspaper journalist,Cabrera Ltd,Berlin,Entry Level,79000.0,Marketing,"social media, content writing, seo"
Chief Technology Officer,"Watson, Smith and Myers",San Francisco,Entry Level,149000.0,Retail,"sales, merchandising, customer service"
Accommodation manager,Phillips-Velasquez,London,Mid Level,103000.0,Manufacturing,"supply chain, quality control, production planning"
Management consultant,Morris Ltd,Bangalore,Entry Level,78000.0,Manufacturing,"quality control, production planning"
Animator,Brewer-Edwards,New York,Entry Level,65000.0,Finance,excel
Fitness centre manager,Kent-Richardson,Bangalore,Senior Level,120000.0,Software,"java, python, c"
Games developer,"Roth, Robinson and Burton",Bangalore,Senior Level,99000.0,Finance,risk analysis
Race relations officer,Erickson-Ortiz,Sydney,Entry Level,49000.0,Finance,"sql, excel, python"
Armed forces operational officer,Miller-Jackson,Sydney,Entry Level,61000.0,Education,"curriculum design, edtech, research"
Commissioning editor,"Adams, Carroll and Garcia",Sydney,Entry Level,125000.0,Marketing,"google ads, social media, content writing, seo"
Adult guidance worker,Shannon-Rojas,Toronto,Mid Level,88000.0,Manufacturing,"supply chain, quality control"
Contractor,"Marshall, Herrera and Sanchez",Toronto,Mid Level,107000.0,Retail,merchandising
"Radiographer, therapeutic",Robinson PLC,San Francisco,Senior Level,83000.0,Software,machine learning
IT technical support officer,Jordan and Sons,Bangalore,Mid Level,100000.0,Education,research
Soil scientist,Herrera LLC,Berlin,Entry Level,64000.0,Finance,"risk analysis, sql"
Museum/gallery curator,Mendoza and Sons,Toronto,Mid Level,48000.0,Marketing,"seo, social media, market research"
"Programmer, multimedia","Perkins, Mercado and Torres",San Francisco,Entry Level,119000.0,Marketing,"google ads, seo"
Futures trader,Smith-Gates,San Francisco,Entry Level,101000.0,Manufacturing,"quality control, supply chain"
"Designer, furniture",Waller-Smith,Sydney,Entry Level,139000.0,Retail,"customer service, sales, merchandising"
"Accountant, chartered management","Jenkins, Sanchez and Wright",London,Mid Level,132000.0,Manufacturing,"quality control, production planning, supply chain"
Site engineer,Bailey Group,New York,Senior Level,64000.0,Finance,"excel, risk analysis, python, financial modeling"
"Programmer, multimedia",Kemp Inc,San Francisco,Senior Level,120000.0,Retail,"customer service, merchandising"
Orthoptist,Jensen-Buchanan,Bangalore,Senior Level,110000.0,Marketing,"seo, google ads"
Museum/gallery curator,"Huffman, Watts and Watson",London,Entry Level,115000.0,Retail,"merchandising, sales, customer service"
"Therapist, nutritional",Carter-Torres,San Francisco,Senior Level,43000.0,Education,edtech
"Therapist, nutritional","Fox, Rhodes and Cain",London,Mid Level,125000.0,Software,machine learning
Cartographer,Adams-Hernandez,London,Senior Level,60000.0,Manufacturing,"quality control, production planning, supply chain"
Education administrator,Gomez and Sons,San Francisco,Mid Level,85000.0,Finance,"excel, python, sql"
Writer,Mckinney-Martin,San Francisco,Senior Level,73000.0,Marketing,"google ads, content writing"
Dealer,Valdez PLC,Bangalore,Mid Level,85000.0,Retail,"customer service, sales, merchandising"
"Psychologist, forensic",Ross-Pennington,Sydney,Senior Level,137000.0,Manufacturing,supply chain
Clinical research associate,"Johnson, Owens and Bowen",Toronto,Senior Level,121000.0,Retail,"customer service, sales, merchandising"
Product manager,Robinson PLC,Bangalore,Mid Level,100000.0,Software,"sql, c"
"Doctor, hospital","Huynh, Petersen and Acosta",Toronto,Mid Level,106000.0,Software,"python, sql"
Chief Executive Officer,"Underwood, Bentley and Morris",Toronto,Senior Level,101000.0,Marketing,"google ads, social media, market research, seo"
Insurance broker,Welch and Sons,Toronto,Mid Level,139000.0,Manufacturing,"supply chain, quality control"
Clinical molecular geneticist,Vazquez-Bailey,Sydney,Mid Level,147000.0,Manufacturing,"supply chain, production planning, quality control"
Sales promotion account executive,Smith-Ramsey,San Francisco,Senior Level,113000.0,Healthcare,pharmaceuticals
Therapeutic radiographer,"Hernandez, Shaw and Evans",Toronto,Entry Level,56000.0,Manufacturing,"supply chain, quality control"
"Programmer, applications",Flynn LLC,London,Mid Level,88000.0,Manufacturing,"quality control, production planning"
"Buyer, retail",Cruz Inc,Sydney,Mid Level,51000.0,Retail,customer service
"Designer, jewellery","Booker, Craig and Hall",Bangalore,Entry Level,66000.0,Finance,"python, financial modeling, risk analysis, sql"
Facilities manager,"Montoya, Rodriguez and Ramirez",Toronto,Senior Level,95000.0,Healthcare,pharmaceuticals
Sports coach,Ellis-Padilla,Berlin,Entry Level,121000.0,Finance,"sql, risk analysis, financial modeling, excel"
Higher education careers adviser,Hawkins-Jordan,London,Mid Level,52000.0,Education,research
Chartered public finance accountant,"Gilmore, Johnson and Chung",London,Senior Level,99000.0,Healthcare,medical research
"Programme researcher, broadcasting/film/video","Graham, Russell and Lowe",Toronto,Mid Level,133000.0,Manufacturing,"supply chain, quality control"
English as a second language teacher,"Smith, Rodriguez and Zimmerman",New York,Mid Level,95000.0,Education,"edtech, teaching, research"
Warehouse manager,Scott Group,San Francisco,Entry Level,59000.0,Retail,sales
Quantity surveyor,"Ellis, Nixon and Clark",Bangalore,Senior Level,78000.0,Healthcare,"medical research, nursing, pharmaceuticals"
Manufacturing systems engineer,Mcconnell PLC,Bangalore,Mid Level,77000.0,Finance,"sql, python, financial modeling"
Race relations officer,"Martin, Oneal and Baldwin",Bangalore,Entry Level,130000.0,Software,"c, java, aws"
Electronics engineer,"Luna, Hess and Schmidt",Sydney,Mid Level,113000.0,Healthcare,"medical research, pharmaceuticals, patient care"
"Nurse, mental health",Garza-Johnson,Berlin,Mid Level,98000.0,Finance,python
"Accountant, chartered","Macias, Thompson and Best",Bangalore,Entry Level,121000.0,Marketing,seo
Patent examiner,Johnson-Lopez,San Francisco,Senior Level,60000.0,Healthcare,"pharmaceuticals, nursing, medical research, patient care"
Copy,"Robles, Wright and Mccoy",Berlin,Entry Level,80000.0,Education,"teaching, curriculum design"
"Engineer, chemical","White, Sutton and Roberts",San Francisco,Mid Level,89000.0,Retail,merchandising
